sample,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15032,2012-03-08,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,13.15,13.9200,4.5300,0.9640,1.7900,53.6800,19.6900,3.3000,0.0391,0.0200,0.1500,243,699,90,54,80,34,88,455,109,177,40,10,31,24
BDX15033,2012-03-08,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,14.87,15.1500,4.4500,0.9490,1.7600,53.4500,19.2200,3.2000,0.0368,0.0300,0.1800,245,800,87,54,83,26,94,669,93,148,40,6,33,25
BDX15034,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,body,0,13.31,17.5800,4.1800,0.9950,2.1000,51.6200,19.0400,3.6800,0.0454,0.0000,0.1800,250,678,113,70,87,34,83,561,127,190,104,11,30,23
BDX15035,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,body,0,12.98,15.1600,4.3700,0.9440,1.7900,52.9400,19.2100,3.1800,0.0386,0.0000,0.1800,241,730,89,52,87,35,93,577,94,155,41,11,28,26
BDX15036,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,13.76,15.8700,5.2200,0.9800,1.6800,50.0000,19.9900,4.3600,0.0429,0.0100,0.1700,214,553,87,58,93,31,46,482,121,104,34,11,21,20
BDX15037,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,rim,0,6.76,16.3800,4.9600,1.0130,1.7700,49.6400,21.1400,3.2900,0.0400,0.0800,0.1700,218,603,96,55,89,28,72,507,95,65,30,11,31,22
BDX15038,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,jar,rim,0,7.78,15.1500,4.1500,0.9760,1.8200,52.7200,19.9700,3.7100,0.0389,0.1000,0.1600,242,613,103,55,87,27,79,492,91,193,49,7,32,25
BDX15039,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,cup,rim,1,11.77,15.9200,4.9200,0.9860,1.8000,51.8500,19.7100,2.9400,0.0395,0.0200,0.1700,249,781,94,60,86,29,57,725,96,130,47,7,29,26
BDX15040,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,lid,rim,1,14.78,14.7000,4.2000,1.0070,1.8200,54.0900,20.6500,2.2300,0.0347,0.0700,0.1700,252,811,90,58,83,27,92,606,90,207,40,7,39,24
BDX15041,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,storage jar,body,1,11.35,16.1100,5.3700,1.0000,1.7600,50.5600,20.3800,4.1700,0.0416,0.0100,0.1500,218,580,94,54,83,31,24,422,120,94,29,10,29,17
BDX15042,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,lid,rim,1,14.40,14.1400,4.3300,1.0740,2.1200,54.0000,20.4500,2.3900,0.0383,0.0600,0.1900,259,897,108,76,90,43,75,883,134,207,134,11,29,23
BDX15043,2012-03-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12212,lid,rim,1,14.79,14.3900,4.3200,1.0530,2.0600,52.9400,20.1900,2.3900,0.0393,0.0900,0.2100,251,831,106,82,88,43,78,833,124,205,128,9,25,23
