"material","sample","date","laboratory","site","stratigraphy","artefact","part","decoration","LOI","CaO","Fe2O3","TiO2","K2O","SiO2","Al2O3","MgO","MnO","P2O5","Zr","Sr","Rb","Zn","Cr","Ni","La","Ba","V","Ce","Y","Cu","phase"
"1","céramique","BDX15032","2012-03-08","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,13.15,13.92,4.53,0.964,1.79,53.68,19.69,3.3,0.0391,0.15,0.0243,0.0699,0.009,0.0054,0.008,0.0034,0.0088,0.0455,0.0109,0.0177,0.004,0.0024,1
"2","céramique","BDX15033","2012-03-08","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,14.87,15.15,4.45,0.949,1.76,53.45,19.22,3.2,0.0368,0.18,0.0245,0.08,0.0087,0.0054,0.0083,0.0026,0.0094,0.0669,0.0093,0.0148,0.004,0.0025,1
"3","céramique","BDX15034","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","body",FALSE,13.31,17.58,4.18,0.995,2.1,51.62,19.04,3.68,0.0454,0.18,0.025,0.0678,0.0113,0.007,0.0087,0.0034,0.0083,0.0561,0.0127,0.019,0.0104,0.0023,1
"4","céramique","BDX15035","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","body",FALSE,12.98,15.16,4.37,0.944,1.79,52.94,19.21,3.18,0.0386,0.18,0.0241,0.073,0.0089,0.0052,0.0087,0.0035,0.0093,0.0577,0.0094,0.0155,0.0041,0.0026,1
"5","céramique","BDX15036","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,13.76,15.87,5.22,0.98,1.68,50,19.99,4.36,0.0429,0.17,0.0214,0.0553,0.0087,0.0058,0.0093,0.0031,0.0046,0.0482,0.0121,0.0104,0.0034,0.002,1
"6","céramique","BDX15037","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,6.76,16.38,4.96,1.013,1.77,49.64,21.14,3.29,0.04,0.17,0.0218,0.0603,0.0096,0.0055,0.0089,0.0028,0.0072,0.0507,0.0095,0.0065,0.003,0.0022,1
"7","céramique","BDX15038","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","jar","rim",FALSE,7.78,15.15,4.15,0.976,1.82,52.72,19.97,3.71,0.0389,0.16,0.0242,0.0613,0.0103,0.0055,0.0087,0.0027,0.0079,0.0492,0.0091,0.0193,0.0049,0.0025,1
"8","céramique","BDX15039","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",TRUE,11.77,15.92,4.92,0.986,1.8,51.85,19.71,2.94,0.0395,0.17,0.0249,0.0781,0.0094,0.006,0.0086,0.0029,0.0057,0.0725,0.0096,0.013,0.0047,0.0026,1
"9","céramique","BDX15040","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","lid","rim",TRUE,14.78,14.7,4.2,1.007,1.82,54.09,20.65,2.23,0.0347,0.17,0.0252,0.0811,0.009,0.0058,0.0083,0.0027,0.0092,0.0606,0.009,0.0207,0.004,0.0024,1
"10","céramique","BDX15041","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","body",TRUE,11.35,16.11,5.37,1,1.76,50.56,20.38,4.17,0.0416,0.15,0.0218,0.058,0.0094,0.0054,0.0083,0.0031,0.0024,0.0422,0.012,0.0094,0.0029,0.0017,1
"11","céramique","BDX15042","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","lid","rim",TRUE,14.4,14.14,4.33,1.074,2.12,54,20.45,2.39,0.0383,0.19,0.0259,0.0897,0.0108,0.0076,0.009,0.0043,0.0075,0.0883,0.0134,0.0207,0.0134,0.0023,1
"12","céramique","BDX15043","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","lid","rim",TRUE,14.79,14.39,4.32,1.053,2.06,52.94,20.19,2.39,0.0393,0.21,0.0251,0.0831,0.0106,0.0082,0.0088,0.0043,0.0078,0.0833,0.0124,0.0205,0.0128,0.0023,1
"13","céramique","BDX15044","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","loom weight","body",FALSE,10.93,17.5,5.77,0.941,1.88,52.22,18.1,2.84,0.0444,0.13,0.024,0.0512,0.0098,0.0054,0.0079,0.0029,0.0039,0.0477,0.0123,0.0073,0.0031,0.002,1
"14","céramique","BDX15045","2012-03-09","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","loom weight","body",FALSE,10.8,19.14,4.54,0.89,1.54,52.34,16.76,3.91,0.0557,0.17,0.0249,0.0734,0.0078,0.0079,0.0077,0.0036,0.006,0.0575,0.0112,0.0141,0.0098,0.0026,1
"15","céramique","BDX15046","2012-03-10","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,10.06,16.47,4.8,0.951,1.9,51.38,19.85,3.61,0.0446,0.18,0.0242,0.0679,0.0101,0.0059,0.0089,0.0026,0.008,0.0616,0.0103,0.0161,0.004,0.0033,1
