"";"CaO";"Fe2O3";"TiO2";"K2O";"SiO2";"Al2O3";"MgO";"MnO";"P2O5";"Zr";"Sr";"Rb";"Zn";"Cr";"Ni";"La";"Ba";"V";"Ce";"Y";"Cu"
"CaO";0;0,0278161187849507;0,024132596240317;0,0235844557350508;0,0185496381628989;0,0223309952886148;0,0405256646872437;0,0194039917170469;0,03665083380652;0,0249175311425815;0,16443415131812;0,0166348695146019;0,0308214858510226;0,0283017303175818;0,0580005240542228;0,12018175900761;0,129541936357962;0,027154732300809;0,0927621268555389;0,159609044008775;0,112254991880096
"Fe2O3";0,0278161187849507;0;0,0123071179406233;0,0179963172360952;0,01180131038591;0,0101481935363858;0,0316790513453045;0,0153003703840425;0,0369947388160939;0,024031007479415;0,133989301641805;0,0166567433216593;0,0306091745967193;0,0158992606943985;0,0593414187120719;0,125060777337396;0,102767130830335;0,023773130090419;0,118236401981412;0,180491252813974;0,0893040126385097
"TiO2";0,024132596240317;0,0123071179406233;0;0,0110629598248681;0,00180447034460152;0,00190747535732802;0,0384289304162622;0,0199257596802168;0,0302216918152675;0,00628780410536683;0,123665844882924;0,00951309508941446;0,0251437694883248;0,0102942933375941;0,0519801156587044;0,100847840176089;0,0920642542820156;0,0133755464726741;0,0878735967334122;0,130553555175199;0,0933727194409433
"K2O";0,0235844557350508;0,0179963172360952;0,0110629598248681;0;0,00851572998067583;0,01061726215517;0,0371848217622889;0,0152256971741505;0,0335624596217993;0,018853961197532;0,113429603991923;0,00649973047680053;0,0167063885952108;0,0171699866439793;0,0451151589385906;0,0994681908166981;0,092468971837519;0,0171698684135929;0,0823670087761589;0,123572800969394;0,0804838296910186
"SiO2";0,0185496381628989;0,01180131038591;0,00180447034460152;0,00851572998067583;0;0,0025722688688969;0,0321092039698571;0,0144095832001119;0,0272205017753923;0,00493558284645007;0,114817248251715;0,00856092645091837;0,0193616576340859;0,0111181885276067;0,0471143711657506;0,0949841623189858;0,0853495923297492;0,0126706058893103;0,0809862273847005;0,12591964083043;0,0853078659419367
"Al2O3";0,0223309952886148;0,0101481935363858;0,00190747535732802;0,01061726215517;0,0025722688688969;0;0,0358339484999651;0,0183253225512092;0,0293037594232065;0,0103464093430269;0,129914618465832;0,00805689465053503;0,0253894503158435;0,00978323665672381;0,0520581327474431;0,107953966072577;0,0974110047632501;0,014395462875637;0,0956566731545842;0,145494502204791;0,0864320169181969
"MgO";0,0405256646872437;0,0316790513453045;0,0384289304162622;0,0371848217622889;0,0321092039698571;0,0358339484999651;0;0,0188054461312099;0,0436447740015672;0,0407646310536017;0,134504275644852;0,0363448136281552;0,0349897490225736;0,0452755120631782;0,0670968036700025;0,115950869176169;0,10896319263806;0,0423096412030103;0,0996241374570874;0,167904928640558;0,0857685344409276
"MnO";0,0194039917170469;0,0153003703840425;0,0199257596802168;0,0152256971741505;0,0144095832001119;0,0183253225512092;0,0188054461312099;0;0,026241475215408;0,0237070641293672;0,1233272885771;0,0134755707540636;0,015228625469969;0,0215182397947749;0,0472893591964527;0,101905503462959;0,0908527002810807;0,0259619027515461;0,0827357933899605;0,136885374998852;0,0736925226827524
"P2O5";0,03665083380652;0,0369947388160939;0,0302216918152675;0,0335624596217993;0,0272205017753923;0,0293037594232065;0,0436447740015672;0,026241475215408;0;0,027825244578801;0,14789307769739;0,0255920510216571;0,0236752057844575;0,03177532465414;0,0584099277678401;0,101863409413481;0,0995811322889472;0,0394421691796923;0,0799056645166085;0,125608604006389;0,090400394753786
"Zr";0,0249175311425815;0,024031007479415;0,00628780410536683;0,018853961197532;0,00493558284645007;0,0103464093430269;0,0407646310536017;0,0237070641293672;0,027825244578801;0;0,126537169578874;0,0160002353384438;0,0259565902378098;0,0176569524772015;0,0565938278139063;0,0899818027096745;0,0870151656598508;0,0186266036390038;0,0729002959347576;0,107442046115519;0,0990103753832827
"Sr";0,16443415131812;0,133989301641805;0,123665844882924;0,113429603991923;0,114817248251715;0,129914618465832;0,134504275644852;0,1233272885771;0,14789307769739;0,126537169578874;0;0,150460945559706;0,0952055227400051;0,154089949414978;0,142911747521026;0,166559648870857;0,0280665381477344;0,153468078805816;0,168895795949358;0,169178194020492;0,124335039457606
"Rb";0,0166348695146019;0,0166567433216593;0,00951309508941446;0,00649973047680053;0,00856092645091837;0,00805689465053502;0,0363448136281552;0,0134755707540636;0,0255920510216571;0,0160002353384438;0,150460945559706;0;0,0196092647047068;0,011806835088243;0,0511156337466906;0,102944456499814;0,114564396611495;0,0133474059920735;0,0821719744403039;0,129781974177644;0,0905246683400635
"Zn";0,0308214858510226;0,0306091745967193;0,0251437694883248;0,0167063885952108;0,0193616576340859;0,0253894503158435;0,0349897490225736;0,015228625469969;0,0236752057844575;0,0259565902378098;0,0952055227400051;0,0196092647047068;0;0,0320193902377538;0,0481660961149788;0,0956584117757164;0,0689782680908278;0,0275859665268671;0,0764617333092007;0,0943138144929124;0,0760339149294588
"Cr";0,0283017303175818;0,0158992606943985;0,0102942933375941;0,0171699866439793;0,0111181885276067;0,00978323665672382;0,0452755120631782;0,0215182397947749;0,03177532465414;0,0176569524772015;0,154089949414978;0,011806835088243;0,0320193902377538;0;0,053373102346225;0,114797153372156;0,117021254993881;0,0151869025238291;0,0938116054392133;0,139342319489798;0,0969816770981697
"Ni";0,0580005240542228;0,0593414187120719;0,0519801156587044;0,0451151589385905;0,0471143711657506;0,0520581327474431;0,0670968036700025;0,0472893591964527;0,0584099277678401;0,0565938278139063;0,142911747521027;0,0511156337466906;0,0481660961149788;0,053373102346225;0;0,131602001423258;0,121518420801463;0,0563845013240376;0,0885634700790723;0,138038265942841;0,0902276406822341
"La";0,12018175900761;0,125060777337396;0,100847840176089;0,0994681908166981;0,0949841623189858;0,107953966072577;0,115950869176169;0,101905503462959;0,101863409413481;0,0899818027096745;0,166559648870857;0,102944456499814;0,0956584117757164;0,114797153372156;0,131602001423258;0;0,144860367196699;0,122733177226787;0,0611313444946556;0,154123773805549;0,129147534089217
"Ba";0,129541936357962;0,102767130830335;0,0920642542820156;0,092468971837519;0,0853495923297492;0,0974110047632501;0,10896319263806;0,0908527002810807;0,0995811322889472;0,0870151656598508;0,0280665381477344;0,114564396611495;0,0689782680908278;0,117021254993881;0,121518420801463;0,144860367196699;0;0,122343690058555;0,145393035020968;0,142119768684854;0,112818731931673
"V";0,027154732300809;0,023773130090419;0,0133755464726741;0,0171698684135929;0,0126706058893103;0,014395462875637;0,0423096412030103;0,0259619027515461;0,0394421691796923;0,0186266036390038;0,153468078805816;0,0133474059920735;0,0275859665268671;0,0151869025238291;0,0563845013240376;0,122733177226787;0,122343690058555;0;0,0938766674356231;0,116625528169075;0,118483084530605
"Ce";0,0927621268555389;0,118236401981412;0,0878735967334122;0,0823670087761589;0,0809862273847005;0,0956566731545841;0,0996241374570874;0,0827357933899605;0,0799056645166085;0,0729002959347576;0,168895795949358;0,0821719744403039;0,0764617333092007;0,0938116054392133;0,0885634700790723;0,0611313444946556;0,145393035020968;0,0938766674356231;0;0,0957682303230241;0,118112071922514
"Y";0,159609044008775;0,180491252813974;0,130553555175199;0,123572800969394;0,12591964083043;0,145494502204791;0,167904928640558;0,136885374998852;0,125608604006389;0,107442046115519;0,169178194020492;0,129781974177644;0,0943138144929124;0,139342319489798;0,138038265942841;0,154123773805549;0,142119768684854;0,116625528169075;0,0957682303230241;0;0,199232312694896
"Cu";0,112254991880096;0,0893040126385097;0,0933727194409433;0,0804838296910186;0,0853078659419367;0,0864320169181969;0,0857685344409276;0,0736925226827524;0,090400394753786;0,0990103753832827;0,124335039457606;0,0905246683400635;0,0760339149294588;0,0969816770981697;0,0902276406822341;0,129147534089217;0,112818731931673;0,118483084530605;0,118112071922514;0,199232312694896;0
